,Address,Business Name,Email,Phone Number,Website
47," 11 Jerusalem Passage, LONDON, EC1V 4JP                                 ",A.T.I Ltd,ray.smith@a-t-i.co.uk,020 7336 1410,www.a-t-i.co.uk
48," 73 Swallowdale, Iver Heath, IVER, Buckinghamshire, SL0 0EX                                 ",A+Studio,info@ap-studio.co.uk,01753 655391,www.2-hedz.com
49," 2 Webbs Court, Buckhurst Avenue, Sevenoaks, Kent, TN13 1LZ                                 ",A2D Architecture Ltd,,01732 669 131,www.a2d.info
50," PO Box 85, 11 Ducie Street, Piccadilly Basin, MANCHESTER, M60 3JA                                 ",BDP,Leanne.ferguson@bdp.com,0161 828 2200,www.bdp.com
51," 7 Hill Street, BRISTOL, BS1 5RW                                 ",BDP,enquiries@bdp.com,0117 929 9861,www.bdp.com
52," 16 Brewhouse Yard, LONDON, EC1V 4LJ                                 ",BDP,enquiries@bdp.com,020 7812 8000,www.bdp.com
53," BDP, 158 Edmund Street, Birmingham, B3 2HB                                 ",BDP,enquiries@bdp.com,0121 212 3553,www.bdp.com
54," 15 Exchange Place, GLASGOW, G1 3AN                                 ",BDP,glasgow@bdp.com,0141 227 7900,www.bdp.com
55," 2604 Shining Towers, PO Box 41670, Abu Dhabi                                 ",BDP,,+971 4 357 0062,www.bdp.com
56," 5 Abbey Court, Priory Business Park, Fraser Road, BEDFORD, MK44 3WH                                 ",be1 Architects,enquiries@be-1.co.uk,01234 261 266,www.be1architects.co.uk
57," High Willows, School Lane, Govilon, Abergavenny, Monmouthsire, NP7 9RH                                 ",Beale Partnership LLP,beale@bealepartnership.com,020 8989 8709,www.bealepartnership.com
58," Unit 4, Observation Court, 84 Princes Street, IPSWICH, Suffolk, IP1 1RY                                 ",Beanland Associates Architects Ltd,admin@beanland.org.uk,01473 226138,www.beanland.org.uk
59," 18-20 St John Street, [2nd floor front], London, London, EC1M 4NX                                 ",Beasley Dickson Architects,info@beasleydickson.com,02037737844,www.beasleydickson.com
60," 15 Collegiate Crescent, SHEFFIELD, South Yorkshire, S10 2BA                                 ",Beaumont and Cowling,sheffield@beaumontandcowling.co.uk,0114 2663001,www.beaumontandcowling.co.uk
61," 8 Spurgeon Avenue, LONDON, SE19 3UQ                                 ",Bee Architects Ltd,office@beearchitects.co.uk,"
office@beearchitects.co.uk
",www.beearchitects.co.uk
62," Church Farm Barn, The Street, Thorndon, EYE, Suffolk, IP23 7JR                                 ",Beech Architects Limited,Enquiries@beecharchitects.com,01379 678 442,www.beecharchitects.com/
63," Heritage Courtyard, 17d Sadler Street, WELLS, Somerset, BA5 2RR                                 ",Beech Tyldesley,mail@beechtyldesley.co.uk,01749 673565,www.beechtyldesley.co.uk
64," The Studio, Fir Tree Farm, Chorley, Nantwich, Cheshire, CW5 8JX                                 ",Beeston Aspinall Architects,info@ba-architects.co.uk,01270 524896,www.ba-architects.co.uk/
65," 3 Byron Villas, Vale of Health, LONDON, NW3 1AR                                 ",Belgravia Architects Ltd,ade@islington-architects.com,020 8245 3510,https://www.islington.gov.uk/business/architects
66," 65 Main Street, BALLYMONEY, County Antrim, BT53 6AN                                 ",Bell Architects Ltd,office@bell-architects.com,028 2766 6406,www.bell-architects.com
67," Millgrove House, 77 Farleigh Road, WARLINGHAM, Surrey, CR6 9EJ                                 ",Bell Associates,design@bellassociates.co.uk,020 8689 4696,www.bellassociates.co.uk
68," Unit 305 Metropolitan Wharf, 70 Wapping Wall, London, E1W 3SS                                 ",Bell Phillips Architects Ltd,info@bellphillips.com,020 7234 9330,www.bellphillips.com
69,,Bellis Architects,david@bellisarchitects.com,020 7831 2333,www.bellisarchitects.com
70," 48 Parkhill Road, London, NW3 2YP                                 ",Belsize Architects,mail@belsizearchitects.com,020 7482 4420,www.belsizearchitects.com
71," 9 Salterns Road, POOLE, Dorset, BH14 8BJ                                 ",BeMa Architects,bemaarchitects@outlook.com,"
bemaarchitects@outlook.com
",www.bemaarchitects.co.uk
72," Warriner Yeat, Crook, KENDAL, Cumbria, LA8 8LH                                 ",Ben Cunliffe Architecture and Landscaping Ltd,architecture@bencunliffe.co.uk,01539 488122,www.bencunliffe.co.uk
73," 13 Dorset Road, Lewes, BN7 1TH                                 ",Ben Jones Architects Limited,mail@benjonesarchitects.co.uk,01273 475 526,www.benjonesarchitects.co.uk
74," 3 Lamp Office Court, Lambs Conduit Street, London, WC1N 3NF                                 ",Ben Pentreath,architecture@benpentreath.com,020 7430 2424,www.benpentreath.com
75," 1 Dene Cottages, Dene Farm Lane, Wingham, Canterbury, Kent, CT3 1NU                                 ",Ben Prince Architect,enquiry@benprincearchitect.co.uk,01227 920 034,www.benprincearchitect.co.uk
76,,Ben Smith Architecture,mail@bensmitharchitecture.com,0203 735 5205,www.bensmitharchitecture.com
77," 23 Terrace Road, BUXTON, Derbyshire, SK17 6DU                                 ",Bench Architects,info@bencharchitects.co.uk,01298 23991,www.bencharchitects.co.uk
78," 90 Dunstable St,, Ampthill, BEDFORD, Bedfordshire, MK45 2JR                                 ",Benchmark Architects,team@benchmarkarchitects.com,01525 300612,www.benchmarkarchitects.com
79," 34-35 Hatton Garden, LONDON, EC1N 8DX                                 ",Benedetti Architects Ltd,office@benedettiarchitects.com,020 3475 7500,www.benedettiarchitects.com
80," The Borough Studios, The Borough, WEDMORE, Somerset, BS28 4EB                                 ",Benjamin + Beauchamp Architects Ltd,studio@b2architects.com,01934 713313,www.b2architects.com
81," 23 Twitten Way, Worthing, West Sussex, BN14 7JU                                 ",Benjamin Favier Architects,ben@favierarchitects.com,01903 209635,www.favierarchitects.com
82," 31 Booth Street, MANCHESTER, M2 4AF                                 ",Bennetts Associates,manchester@bennettsassociates.com,0161 674 0135,www.bennettsassociates.com/
83," 3 Boroughloch Square, Edinburgh, EH8 9NJ                                 ",Bennetts Associates,edin@bennettsassociates.com,0131 667 7351,www.bennettsassociates.com
84," 1 Rawstorne Place, LONDON, EC1V 7NL                                 ",Bennetts Associates,mail@bennettsassociates.com,020 7520 3300,www.bennettsassociates.com
85," Benoy Ltd, Handley House, 7 North Gate, NEWARK, Nottinghamshire, NG24 1EH                                 ",Benoy Ltd,ukeurope@benoy.com,01636 672356,www.benoy.com
86," Benoy Ltd, 1 Monkwell Square, LONDON, EC2Y 5BL                                 ",Benoy Ltd,ukeurope@benoy.com,020 7726 8999,www.benoy.com
87," Studio 109B, Building 6, Dubai Design District, PO BOX 333225, Dubai                                 ",Benoy Ltd,middleeast@benoy.com,+971 2 403 9800,www.benoy.com
88," The Muse, 54A Newington Green, LONDON, N16 9PX                                 ",bere:architects,info@bere.co.uk,020 7241 1064,www.bere.co.uk
89," Berman Guedes Stretton, 19 Eastbourne Terrace, LONDON, W2 6LG                                 ",Berman Guedes Stretton,info@bgsarchitects.co.uk,020 3220 0230,www.bgsarchitects.co.uk
90," 274 Banbury Road, Oxford, Oxfordshire, OX27DY                                 ",Berman Guedes Stretton,info@bgsarchitects.co.uk,"
info@bgsarchitects.co.uk
",www.bgsarchitects.co.uk
91," 79a Wilson Avenue, ROCHESTER, Kent, ME1 2SJ                                 ",Bernard Hyde Associates,bernardhyde@btinternet.com,01634 843749,www.bernardhydeassociates.com
92," Bernard Stilwell Architects, 10 Christina Street, LONDON, EC2A 4PA                                 ",Bernard Stilwell Architects LLP,teresa.charters@bsarchitects.co.uk,020 7729 3500,www.bsarchitects.co.uk
93," Bernard Taylor Partnership Ltd, Elizabeth House, 486 Didsbury Road, Heaton Mersey, STOCKPORT, Cheshire, SK4 3BS                                 ",Bernard Taylor Partnership (BTP) Ltd,info@btparchitects.co.uk,0161 443 1221,www.bernardtaylor.co.uk
94," The Gallery, The Old Gasworks, 43 Progress Road, Leigh On Sea, Essex, SS9 5PR                                 ",BGA Architects,info@bga-architects.com,01702 471057,www.bga-architects.com
95," BGA Architects Ltd, 50 Regent Street, NEWTOWNARDS, County Down, BT23 4LP                                 ",BGA Architects Ltd,john@bga-ni.com,028 9181 5736,www.bga-ni.com
96," Oak House, London Road, Sevenoaks, Kent, TN13 1AF                                 ",BHD Architects LLP,info@bhdarchitects.co.uk,01732 452200,www.bhdarchitects.co.uk
97," Nicholas House, River Front, ENFIELD, Middlesex, EN1 3TF                                 ",BHP Architects,info@bhparchitects.com,020 8367 8000,www.bhparchitects.com
98," The White Barn, Manor Farm, Manor Road, Wantage, Oxfordshire, OX12 8NE                                 ",BHP Harwood LLP,info@bhpharwood.co.uk,01235 765322,www.bhpharwood.co.uk
99," 4 St. Laurence Road, BRADFORD-ON-AVON, Wiltshire, BA15 1JG                                 ",BiBO,better@bibostudio.com,0333 577 2420,www.bibostudio.com
100," 35 Whiffler Road, NORWICH, Norfolk, NR3 2AW                                 ",David Futter Associates Ltd,info@dfal.tv,01603 787778,www.dfal.tv
101," Studio 3.07, Food Exchange, New Covent Garden Market, LONDON, SW8 5EL                                 ",David Gallagher Associates LLP,david@dga-architects.co.uk,020 7834 9474,www.dga-architects.co.uk
102," 20-22 Wenlock Road, London, N1 7GU                                 ",David Gibson Architects,mail@dgibarch.co.uk,020 7226 2207,www.dgibarch.co.uk
103," Twll Dwrgi, Goat Street, St. Davids, Pembrokeshire, SA62 6RQ                                 ",David Haward Associates,mail@dhaarchitects.co.uk,01437 729090,www.dhaarchitects.co.uk
104," 24-28 St Leonards Road, Windsor, Berkshire, SL4 3BB                                 ",David Herbert Architects Ltd,enquiry@davidherbertarchitects.co.uk,01753 415 870,www.davidherbertarchitects.co.uk
105," 4 The Square, Puddletown, DORCHESTER, Dorset, DT2 8SL                                 ",David Illingworth Architects,davidillingworth@btconnect.com,01305 848685,
106," Green Farm Cottage, Hamstall Ridware, RUGELEY, Staffordshire, WS15 3QG                                 ",David J G Rudge & Associates,davidrudgeassoc@msn.com,01889 504219,architectsstaffordshire.com/
107," Stable Barn, Acacia Cottage, South Side, Steeple Aston, Oxfordshire, OX25 4RT                                 ",David J Stewart Associates Chartered Architects,djs@djsa.co.uk,01295 267565,www.djsa.co.uk
108," 5 Wolterton Road, Branksome, Poole, Dorset, BH12 1LR                                 ",David James Architects,office@davidjamesarchitects.co.uk,01202 755633,www.davidjamesarchitects.co.uk
109," The Architects Office, Gower Road, Haywards Heath, West Sussex, RH16 4PL                                 ",David Jenkins Design Ltd,info@davidjenkinsdesign.co.uk,01444 484811,www.davidjenkinsdesign.co.uk
110," Bedford House, 125-133 Camden High Street, London, NW1 7JR                                 ",David Kohn Architects,info@davidkohn.co.uk,020 7424 8596,www.davidkohn.co.uk
111," 8 Listria Park, LONDON, N16 5SN                                 ",David Lees Architects,,"
www.davidleesarchitects.co.uk
",www.davidleesarchitects.co.uk
112," Fordhams, Littley Green, CHELMSFORD, CM3 1BU                                 ",David Long Architects,dlong@dlaltd.com,020 8533 5555,www.dlaltd.com
113," 1 Rutland Drive, Mickleover, DERBY, Derbyshire, DE3 9FW                                 ",David McPhee Chartered Architect Ltd,dave@davidmcpheearchitect.co.uk,01332 988279,www.davidmcpheearchitect.co.uk
114," 41-42 Foley Street, London, W1W 7TS                                 ",David Miller Architects,j.moore@david-miller.co.uk,020 7636 4318,www.david-miller.co.uk
115," Chapel House, 18 Hatton Place, LONDON, EC1N 8RU                                 ",David Morley Architects LLP,info@dmarch.co.uk,020 7430 2444,www.davidmorleyarchitects.co.uk
116," 52 South Vale, London, SE19 3BA                                 ",David Nossiter Architects Limited,mail@davidnossiter.com,"
mail@davidnossiter.com
",www.davidnossiter.com
117," Head Office, The Design Studio, 127 Harefield Road, RICKMANSWORTH, Hertfordshire, WD3 1PB                                 ",David R Yeaman & Associates,david@drya.co.uk,020 8424 0801,www.drya.co.uk
118," David Robotham Ltd, The Old Library, 12 Church Street, WARWICK, Warwickshire, CV34 4AB                                 ",David Robotham Limited,architects@robothams.co.uk,01926 493843,www.robothams.co.uk
119," Satila House, 2nd Floor, 109 Farringdon Road, LONDON, EC1R 3BW                                 ",David Roden Architects Ltd,julia.joos@rodenarchitects.com,"
julia.joos@rodenarchitects.com
",www.rodenarchitects.com
120," 1A Collins Road, TOTNES, Devon, TQ9 5PJ                                 ",David Sheppard Architects,design@davidsheppard-architects.com,01803 867229,www.davidsheppard-architects.com
121," 99 John Ruskin Street, LONDON, SE5 0PQ                                 ",David Stanley Architects Ltd,dstanleyarchitects@mac.com,0207 7081716,www.davidstanleyarchitects.com
122," 32 Springfield Road, Moseley, BIRMINGHAM, B13 9NW                                 ",David Thorp Architects Ltd,Dthorp@aol.com,0121 777 5925,www.mysolihullarchitect.co.uk
123," The Studio, 39 Monks Hill, Worlebury, WESTON-SUPER-MARE, Somerset, BS22 9RQ                                 ",David Wakely Associates,dwakely18@outlook.com,01934 429098,
124," David Walker Architects, 39 Great Portland Street, LONDON, W1W 7JZ                                 ",David Walker Architects,david.walker@dwarchitects.co.uk,020 7631 0523,www.dwarchitects.co.uk
125," Black Barn, Mendham Low Road, Redenhall, HARLESTON, Norfolk, IP20 9QU                                 ",David Whitehead Architects,redwhiteheads@gmail.com,01379 855241/263,
126," 1a May Avenue, BANGOR, County Down, BT20 4JT                                 ",David Wilson Chartered Architect,david@davidwilson-architect.com,028 91455910,www.davidwilson-architect.com
127," The Old School, Ladywell, Pilton, BARNSTAPLE, Devon, EX31 1QT                                 ",David Wilson Partnership Limited,devon@davidwilsonpartnership.co.uk,01271 374485,www.davidwilsonpartnership.co.uk
128," 5c Gray Street, Broughty Ferry, DUNDEE, DD5 2BH                                 ",David Wren Chartered Architect Ltd,info@davidwrenarchitect.co.uk,07881 400 919,
129," 128 Lambton Road, Raynes Park, LONDON, SW20 0TJ                                 ",David York Architects,davidyork48@aol.co.uk,020 8946 1865,
130," Crown Cottage Studio, The Cross, Elsenham, CM22 6DG                                 ",Davidson Architects,ribalee@gmail.com,"
ribalee@gmail.com
",
131," Davidson Baxter Partnership Ltd, 108 St. Clair Street, KIRKCALDY, Fife, KY1 2BD                                 ",Davidson Baxter Partnership Ltd,stewart@dbparchitects.co.uk,01592 205761,www.dbparchitects.co.uk
132," The Maltings, East Tyndall Street, CARDIFF, South Glamorgan, CF24 5EA                                 ",Davies Llewelyn and Jones LLP,daviesllewelyn@aol.com,029 204 644 33,
133," Penhevad Studios, Penhevad Street, Grangetown, CARDIFF, South Glamorgan, CF11 7LU                                 ",Davies Sutton Architects,office@davies-sutton.co.uk,029 2066 4455,www.davies-sutton.co.uk
134," Hope Park Business Centre, Bradford, West Yorkshire, BD5 8HH                                 ",Dawson Williamson Ltd,info@dawsonwilliamson.co.uk,01274 551300,www.dawsonwilliamson.co.uk
135," Studio 1, 2nd Floor, Lancaster Buildings, 77 Deansgate, MANCHESTER, M3 2BW                                 ",DAY Architectural Ltd,carolinecowburn@day-architectural.com,0161 834 9703,www.day-architectural.com
136," Unit 4 A, Lakeland Business Park, Lamplugh Road, COCKERMOUTH, Cumbria, CA13 0QT                                 ",Day Cummins Limited,dc@day-cummins.co.uk,01900 820700,www.day-cummins.co.uk
137," Shire House, Whinney Brow, Forton, PRESTON, PR3 0AE                                 ",DBA Architects Ltd,,01524233201,
138," 12 Middlethorpe Business Park, Sim Balk Lane, Bishopthorpe, YORK, YO23 2BD                                 ",dc-architecture,studio@dc-architecture.com,01904 700941,
139," Plumpton Pit Stop, Ditchling Road, Plumpton, East Sussex, BN7 3AF                                 ",DD Architects,info@ddarchitects.co.uk,01273 891942,ddarchitects.co.uk
140," 7 Lovers Walk, London, N3 1JH                                 ",DDWH Architects,mail@ddwharchitects.com,0208 343 0156,www.ddwharchitects.com
141," 16 South Park, Sevenoaks, TN13 1AN                                 ",De Linde Architects Ltd,info@delinde.co.uk,07973 628095,www.delinde.co.uk
142," 99-100 Turnmill Street, LONDON, EC1M 5QP                                 ",De Matos Ryan,mail@dematosryan.co.uk,020 7336 0100,www.dematosryan.co.uk
143," 87 Notting Hill Gate, LONDON, W11 3JZ                                 ",De Rosee Sa Ltd,info@deroseesa.com,020 7221 5495,www.deroseesa.com
144," 253 Ditchling Road, BRIGHTON, East Sussex, BN1 6JD                                 ",Deacon + Richardson Architects Ltd,design@drltd.co.uk,01273 888080,www.drltd.co.uk
145," 11 Prendergrast House, Kings Avenue, London, SW4 8DD                                 ",Deans Hansen Architecture,info@deanshansen.com,0208 674 6942,www.deanshansen.com
146," 1 Berkeley Street, Mayfair, London, W1J 8DJ                                 ",Debbie Flevotomou Architects Ltd,info@debbieflevotomou.com,020 3592 0537,www.debbieflevotomou.com
147," 15 Simon Lodge, 76 Victoria Drive, London, SW19 6HJ                                 ",Decent Goodfellow Architects,mail@decentgoodfellow.com,020 8789 0545,www.decentgoodfellow.com
148," 86 The Highway, Hawarden, CH5 3DH                                 ",Deeside Architectural Design,deesidearcdesign@gmail.com,01244 534984,
149," 5 Piccadilly Place, Manchester, M1 3BR                                 ",Define Architects LLP,gavin@definearchitects.co.uk,"
gavin@definearchitects.co.uk
",www.defintearchitects.co.uk
150," 17 Savile Row, London, W1S 3PN                                 ",Gregory Phillips Architects,gp@gregoryphillips.com,020 7724 3040,www.gregoryphillips.com
151," Unit 201 Screenworks, 22 Highbury Grove, LONDON, N5 2EF                                 ",Greig & Stephenson Limited,ken@gands.co.uk,020 7403 5511,www.gands.co.uk
152," Unit 3, Century Quarter House, 25 Downham Road, LONDON, N1 5AA                                 ",Gresford Architects Ltd,info@gresfordarchitects.co.uk,020 7249 1855,www.gresfordarchitects.co.uk
153," Elizabeth House, Rue Poudreuse, St Martins, Guernsey, GY4 6NN                                 ",Grey Bear Chartered Architect Ltd,emma@grey-bear.co.uk,"
emma@grey-bear.co.uk
",www.grey-bear.co.uk
154," Studio 415, Peckham Levels, 95A Rye Lane, London, SE15 4ST                                 ",Grey Griffiths Architects,info@greygriffiths.com,"
info@greygriffiths.com
",www.greygriffiths.com
155," 128 Southwark Street, Southwark, London, SE1 0SW                                 ",GRID Architects,info@gridarchitects.co.uk,020 7593 3260,www.gridarchitects.co.uk
156," 237 Regents Park Road, LONDON, N3 3LF                                 ",Gridline Architecture,info@gridlinearchitecture.co.uk,02034415897,www.gridlinearchitecture.co.uk
157," 57 Clerkenwell Road, Farringdon, LONDON, EC1M 5NG                                 ",Grimshaw,mark.middleton@grimshaw-architects.com,0207 291 4141,www.grimshaw.global
158," 7 Lissel Road, Simpson, MILTON KEYNES, Buckinghamshire, MK6 3AX                                 ",Grindley Architects,info@grindleyarchitects.co.uk,01908 668919,www.grindleyarchitects.co.uk
159," 48 Kimpton Avenue, BRENTWOOD, Essex, CM15 9HA                                 ",Ground Figure LLP,email@groundfigure.com,01277 295234,www.groundfigure.com
160," Unit 35, Avenue C, Sneinton Market, NOTTINGHAM, NG1 1DW                                 ",Groundworks Architects LLP,enquiries@groundworksarchitects.co.uk,0115 941 7007,www.groundworksarchitects.co.uk
161," The Tetley, Hunslet Road, Leeds, West Yorkshire, LS10 1JQ                                 ",Group Ginger,hello@groupginger.com,0113 320 8401,www.groupginger.com
162," 15a Studio, Clerkenwell Close, LONDON, EC1R 0AA                                 ",Groupwork,,020 7253 9444,www.amintaha.co.uk
163," 6 Kensington Court Mews, LONDON, W8 5DR                                 ",Groves Natcheva Architects,an@grovesnatcheva.com,020 7937 7772,www.grovesnatcheva.com
164," Lambs House, 11 Waters Close, Edinburgh, EH6 6RB                                 ",Groves-Raines Architects Ltd,practice@grovesraines.com,0131 467 7777,www.grovesraines.com
165," Ground Floor, Unit D, Emperor House, Dragonfly Place, London, SE4 2FL                                 ",Gruff Ltd,mail@grufflimited.com,020 8692 9130,www.grufflimited.com
166," 85 Weymoor Road, BIRMINGHAM, B17 0RS                                 ",GRUHE Architecture & Design Consultancy,studio@gruhe.co.uk,0121 270 8858,www.gruhe.co.uk
167," 64 Mucurapo Road, St. James                                 ",GSAL Designs Ltd,info@gsaldesigns.com,(868)7638256,https://gsaldesigns.com
168," 35 Headlands, KETTERING, Northamptonshire, NN15 7ES                                 ",GSS ARCHITECTURE,,01536 513165,www.gssarchitecture.com
169," Studio B2, Witan Studio, 314 Witan Gate West, MILTON KEYNES, MK9 1EJ                                 ",GSSARCHITECTURE,gss@gotch.co.uk,01908 255620,www.gssarchitecture.com
170," Hoults Yard, Walker Road, Newcastle Upon Tyne, NE6 2HL                                 ",GSSARCHITECTURE,gss@gotch.co.uk,0191 389 8917,www.gssarchitecture.com
171," North Warehouse, Gloucester Docks, Gloucester, Gloucestershire, GL1 2EP                                 ",GSSARCHITECTURE,vw@gotch.co.uk,01275 378310,www.gssarchitecture.com
